window_count,trajectory_fraction,replicate_count,valid_replicate_count,rmse_wham,avg_total_std,avg_total_variance,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,mcmc_max_r_hat,mcmc_min_n_eff,mcmc_divergence_total
3,0.04,5,5,20.163391020427632,4.067179958289256,16.93477111586524,15.750856164894092,0.05500000000000001,0.16,1.0151588943960508,115.75905431143046,0
3,0.063,5,5,20.747090899031566,4.045710734904976,16.750161331170208,16.140811675689918,0.0475,0.16749999999999998,1.0284795576508732,135.12400656243904,0
3,0.1,5,1,17.893097053210692,4.120654959792466,17.42106322010644,13.263190208749592,0.0375,0.1875,1.0170933674100577,144.96234839745995,0
3,0.16,5,4,20.39187605413217,3.6808017616355078,14.053469502665124,15.510744710146195,0.08437499999999999,0.184375,1.0232662209889924,103.4854196904171,0
3,0.25,5,5,20.413647235884085,3.935026989394945,15.916947141249745,15.423490061554753,0.07999999999999999,0.1625,1.0168724066643176,113.38919419083244,0
3,0.4,5,5,20.076714795857008,3.910944507966677,15.841989783711131,15.62536964468455,0.045000000000000005,0.1425,1.0125562157646417,142.37388951450123,0
3,0.6,5,5,21.163366416262736,3.6499776179335037,13.802608632240615,16.26570236984856,0.06,0.195,1.0257859258563775,100.48344999689691,0
3,0.8,5,2,19.249530006606598,3.734905941445361,14.455610568154345,15.176608032495501,0.03125,0.1125,1.025874575738357,112.10383266747212,0
3,0.9,5,2,20.65343514021,3.4481806539817352,12.449345246037105,16.384504095927305,0.018750000000000003,0.1,1.0166532238309698,100.61992681267837,0
3,1.0,5,3,19.054729758690822,3.8447832169847103,15.30612685069074,14.820981328554609,0.05833333333333333,0.1625,1.0190581831708119,105.13812688229117,0
4,0.04,5,5,20.60505360376984,3.8790220188251787,15.47921098365527,15.381433875372448,0.08,0.24500000000000002,1.0342679383441937,101.86401684685305,0
4,0.063,5,4,20.852856124425024,4.0013299737724,16.457193305007863,15.761692342165727,0.08125,0.20625000000000002,1.0184887824655764,129.5914745284059,0
4,0.1,5,3,21.215395551179252,3.95965203438427,16.041190084684303,15.976892079520743,0.05833333333333333,0.1708333333333333,1.0115805012307575,108.54238119070463,0
4,0.16,5,4,20.20557988717748,3.581493094242482,13.395828367884977,15.602758613030261,0.053125000000000006,0.175,1.0186004679894736,106.79057666662132,0
4,0.25,5,1,20.627303965330647,4.034150967002582,16.676116627125044,15.38472303269512,0.0625,0.175,1.0136494809681793,180.6037684797182,0
4,0.4,5,5,20.56332017957129,3.4675783242268814,12.626337659132043,15.72314348000998,0.0925,0.18,1.0366780012508319,102.1134785904898,0
4,0.6,5,4,19.74742076465322,3.6592225931025477,13.962454668576719,15.19056551626182,0.0875,0.1875,1.02870400209742,100.70596115465005,0
4,0.8,5,3,19.737144135513336,3.5843171127702718,13.441951722193403,15.70492650655836,0.05833333333333333,0.12916666666666665,1.0238160192844479,110.8996429307916,0
4,0.9,5,3,20.37795270876751,3.73132043436278,14.377691786267881,15.543868453915508,0.07916666666666666,0.14166666666666666,1.0267236858425084,109.76577529497503,0
4,1.0,5,2,20.92975924888132,3.66360516512156,13.861157729724766,16.194644219580656,0.075,0.1625,1.0184968586532654,103.66026440247803,0
6,0.04,5,5,20.85342722525118,3.7093063293304693,14.173898805942716,16.606832910500444,0.04,0.1575,1.0209751734823247,134.88870931594704,0
6,0.063,5,3,18.106955164713163,3.5794075040071935,13.167277381654253,14.010401643591598,0.05416666666666667,0.25416666666666665,1.0212041057633394,111.6640769852174,0
6,0.1,5,2,20.91848583334619,3.920063402970424,15.838566358852361,16.464809480688682,0.04375,0.19375,1.0094243919608892,195.42317684650297,0
6,0.16,5,4,18.679201946104236,3.7615280335882586,14.511685563761601,14.579319645075543,0.065625,0.171875,1.024683522320848,103.41731307261466,0
6,0.25,5,4,20.247806936190635,3.644940197056306,13.769852777948293,16.07201252214442,0.09375000000000001,0.165625,1.0232458011664782,100.37791192611138,0
6,0.4,5,3,19.04731004011252,3.4668502449829313,12.517644883052634,13.913955511799097,0.14583333333333334,0.275,1.046517950943694,101.80679735569461,0
6,0.6,5,4,17.27069389968018,3.263274875570729,11.14878720433417,13.34515672404266,0.121875,0.24375,1.0404790766179755,101.26360327755721,0
6,0.8,5,2,17.932536879396686,3.4875558344210242,12.533360198610279,14.022676122662556,0.10625,0.1625,1.0210087856088053,112.44275582379342,0
6,0.9,5,1,19.957321771038934,3.2362409548953686,10.75612090524248,15.567074464895958,0.1625,0.1875,1.033851632213367,143.28185926048718,0
6,1.0,5,2,17.569442571359538,2.262417132188808,6.313208947714488,14.331217277450717,0.06875,0.125,1.0121504025563213,168.74733275889338,0
8,0.04,5,2,19.522062622392824,3.233093911187686,10.95729906883488,16.116226821390253,0.07500000000000001,0.14375,1.0421605871404913,108.94748160736923,0
8,0.063,5,4,16.656302310141232,3.694983188488826,13.966229171508937,13.086895187554804,0.1125,0.22812499999999997,1.01861564705155,111.83303432635587,0
8,0.1,5,4,18.259349642104123,3.304169483807157,11.224569734805042,14.544065365812404,0.075,0.18437499999999998,1.0306446353060388,121.0057929282546,0
8,0.16,5,1,10.198293289934915,3.343173842445187,11.573060288173721,7.528652837838732,0.1625,0.3625,1.0098101459618591,199.01091919735794,0
8,0.25,5,5,13.671876869737364,2.326066531548763,7.639264956570377,10.296376672440024,0.05,0.11750000000000001,1.02015132357376,115.20850319075544,0
8,0.4,5,1,18.417673435077596,2.9519057555302357,9.191554664816827,13.277433556023137,0.3,0.3375,1.01464377522273,118.52601653635915,0
8,0.6,5,2,16.18319991438137,2.641887433702607,8.66018620150351,11.996778211997585,0.1375,0.18125,1.03579809842531,113.01319254434723,0
8,0.8,5,2,13.34249323455878,1.2275220881879,2.461362276998493,10.066886011618092,0.03125,0.0875,1.010988197126911,114.98045574144949,0
8,0.9,5,3,9.454246886677753,1.8090471359595819,5.114859321945255,7.4709699692635185,0.125,0.2041666666666667,1.0217493327506024,108.4312499061182,0
8,1.0,5,3,13.511480059784283,2.69586260498787,8.852601911167183,10.855705345627536,0.09999999999999999,0.1625,1.018169683026284,103.25994825115794,0
10,0.04,5,4,19.052029790898853,3.017703135363644,9.703616542085143,14.473837842155529,0.11875,0.234375,1.0197312529039848,101.7659608084274,0
