window_count,trajectory_fraction,replicate,result_source,window_overlap_connected,included_in_valid_only_analysis,exclusion_reason,rmse_wham,avg_total_std,avg_total_variance,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,max_r_hat,min_effective_sample_size,divergence_count,r_hat_above_1p05,ess_below_100,failure_reason
3,0.1,1,nuts,False,False,failed_sampler_diagnostics,19.66775923544812,4.207398604450662,18.119430997021645,15.971788831757076,0.0125,0.0875,1.0139869540789515,99.60816370803713,0,False,True,failed_sampler_diagnostics
3,0.1,3,nuts,False,False,failed_sampler_diagnostics,20.269815464062678,3.709242025189444,14.23096734611658,15.66220741861925,0.0375,0.175,1.0207001855723563,84.03430051677942,0,False,True,failed_sampler_diagnostics
3,0.1,4,nuts,True,False,failed_sampler_diagnostics,21.08101605368127,4.07132469450386,16.955621683208204,15.800077262596028,0.0875,0.1875,1.0458717565498103,82.23141330827083,0,False,True,failed_sampler_diagnostics
3,0.1,5,nuts,False,False,failed_sampler_diagnostics,18.34291843052308,3.8990361490353456,15.732676814630329,13.7264118966582,0.1125,0.2625,1.0244394609204623,75.56952586308954,0,False,True,failed_sampler_diagnostics
3,0.16,1,nuts,False,False,failed_sampler_diagnostics,20.246215916230625,3.6880151048523784,14.059959237437624,16.410550607156,0.025,0.075,1.0405551307794474,95.88599985220871,0,False,True,failed_sampler_diagnostics
3,0.8,3,nuts,False,False,failed_sampler_diagnostics,21.94236426468097,3.884677077360373,15.436609213442662,16.181424907731603,0.0875,0.275,1.0293154074471231,66.5998726025066,0,False,True,failed_sampler_diagnostics
3,0.8,4,nuts,False,False,failed_sampler_diagnostics,19.97461125754007,3.4929689021434434,12.719137647777464,15.382324621806907,0.15,0.1875,1.032174527850895,73.44394874010409,0,False,True,failed_sampler_diagnostics
3,0.8,5,nuts,False,False,failed_sampler_diagnostics,19.879976977628402,3.611603981350389,13.554369353093467,15.649029275466598,0.075,0.1375,1.019447469529155,95.13726202829298,0,False,True,failed_sampler_diagnostics
3,0.9,2,nuts_refined_fast,True,False,failed_sampler_diagnostics,15.7690717870875,3.8464063562464106,15.260566061505383,12.555767550491373,0.0625,0.15,1.3456223903025706,15.276161438871032,0,True,True,failed_sampler_diagnostics
3,0.9,4,nuts,False,False,failed_sampler_diagnostics,18.355903385545922,4.0593215134347505,16.933523877951757,14.614112918693811,0.0375,0.0875,1.0150692887049737,68.62893195189741,0,False,True,failed_sampler_diagnostics
3,0.9,5,nuts,False,False,failed_sampler_diagnostics,19.692769190413053,3.725550172409099,14.334235499004716,15.03413949337289,0.15,0.225,1.0285964357210002,95.3317804136076,0,False,True,failed_sampler_diagnostics
3,1.0,2,nuts,False,False,failed_sampler_diagnostics,19.266629477439405,3.4257175053001703,12.296802755100172,14.999833141605915,0.0625,0.2375,1.013898788251417,88.63701355734082,0,False,True,failed_sampler_diagnostics
3,1.0,5,nuts,False,False,failed_sampler_diagnostics,20.890930039212876,3.9128106546493937,15.65752597293562,15.557008403286455,0.1,0.3,1.037660355678798,81.52312847816548,0,False,True,failed_sampler_diagnostics
4,0.063,2,nuts,False,False,failed_sampler_diagnostics,21.334307207907237,3.780185772172466,14.709596087072082,16.342967084798044,0.0125,0.1625,1.0481362885934615,94.54241297433617,0,False,True,failed_sampler_diagnostics
4,0.1,2,nuts,False,False,failed_sampler_diagnostics,20.64262990368859,3.8087923814441282,15.007587551570714,15.77061693826443,0.1125,0.275,1.0266020890130554,89.89087186712548,0,False,True,failed_sampler_diagnostics
4,0.1,3,nuts,False,False,failed_sampler_diagnostics,17.69195091577868,4.020824003474883,16.53827868192921,12.78777351670107,0.1875,0.3125,1.0128524995486277,93.35349608226889,0,False,True,failed_sampler_diagnostics
4,0.16,5,nuts,False,False,failed_sampler_diagnostics,19.478427459437494,3.400273565636026,12.135255460202057,16.58251055543817,0.0125,0.025,1.0217611172181897,82.37726396516729,0,False,True,failed_sampler_diagnostics
4,0.25,2,nuts,False,False,failed_sampler_diagnostics,20.728757866547024,3.8928801540030014,15.606094387522688,15.884207208286943,0.05,0.175,1.0292192195002292,97.16505114077145,0,False,True,failed_sampler_diagnostics
4,0.25,3,nuts,False,False,failed_sampler_diagnostics,20.617263005029717,3.8003642031609637,14.840495702588209,16.09629985025533,0.0125,0.175,1.0221523996874964,84.22997492126422,0,False,True,failed_sampler_diagnostics
4,0.25,4,nuts,False,False,failed_sampler_diagnostics,20.803670435248783,3.6764829417182683,13.98065046003229,16.056384289072,0.025,0.175,1.009480206365223,91.00594815656507,0,False,True,failed_sampler_diagnostics
4,0.25,5,nuts,False,False,failed_sampler_diagnostics,21.55667791013661,3.5411339096244356,12.947104043940687,16.20201118348055,0.075,0.175,1.0108578665872567,80.46280183282641,0,False,True,failed_sampler_diagnostics
4,0.6,3,nuts_refined_fast,False,False,failed_sampler_diagnostics,15.955714150098352,3.3374142632073687,11.608927652019492,12.334994397212093,0.05,0.1125,1.0649425981194525,76.7215500219707,0,True,True,failed_sampler_diagnostics
4,0.8,2,nuts,False,False,failed_sampler_diagnostics,17.289198898043303,3.975069533891225,16.23881898124987,13.29185372437927,0.1375,0.2375,1.0320038022014235,38.032398272331186,0,False,True,failed_sampler_diagnostics
4,0.8,3,nuts,False,False,failed_sampler_diagnostics,21.11258901201894,3.559166558075776,13.212615039770487,16.51094918014595,0.075,0.1625,1.0135016139968887,77.24806882569305,0,False,True,failed_sampler_diagnostics
4,0.9,2,nuts,False,False,failed_sampler_diagnostics,19.00834417549462,3.4526426143554945,12.566467223906232,14.96952473953433,0.1375,0.2375,1.0185560992479197,73.25695695458147,0,False,True,failed_sampler_diagnostics
4,0.9,3,nuts,False,False,failed_sampler_diagnostics,18.85029120041357,3.80807195815112,14.976445637556179,14.820290467443474,0.0875,0.125,1.0205970886941054,71.07508012236663,0,False,True,failed_sampler_diagnostics
4,1.0,1,nuts,False,False,failed_sampler_diagnostics,19.08199910718106,3.961812656792857,16.135319700679407,14.85543263204085,0.0625,0.1375,1.0163730185064368,53.078350802302914,0,False,True,failed_sampler_diagnostics
4,1.0,2,nuts,False,False,failed_sampler_diagnostics,20.13508695370745,3.1657239913918773,10.671745629316737,16.349793148457337,0.075,0.2,1.0157258512099339,81.48015945630104,0,False,True,failed_sampler_diagnostics
4,1.0,3,nuts,False,False,failed_sampler_diagnostics,19.89068653727113,3.1512884213220405,10.552122326747984,15.831121040245568,0.1375,0.1625,1.0065775678045306,80.74398239160843,0,False,True,failed_sampler_diagnostics
6,0.063,4,nuts,False,False,failed_sampler_diagnostics,16.926369799396966,3.8331824889307873,14.97365657103922,12.48422612956339,0.175,0.25,1.0358264977975644,75.25507056782386,0,False,True,failed_sampler_diagnostics
6,0.063,5,nuts,False,False,failed_sampler_diagnostics,17.627134160671833,3.651509602558522,13.84874290254831,13.385718049119145,0.15,0.225,1.0258999720758641,93.07864380825778,0,False,True,failed_sampler_diagnostics
6,0.1,3,nuts,False,False,failed_sampler_diagnostics,17.70987303692731,3.672208969826383,13.862252024540044,13.180050379527922,0.1125,0.2375,1.0296098322621259,78.2487492679517,0,False,True,failed_sampler_diagnostics
6,0.1,4,nuts,False,False,failed_sampler_diagnostics,17.010173184162408,3.4180629805291938,12.171021150314623,12.826638497947949,0.1375,0.2875,1.0108886484057091,96.83011253891812,0,False,True,failed_sampler_diagnostics
6,0.1,5,nuts,False,False,failed_sampler_diagnostics,20.023781763162326,3.8813906591819984,15.512155746650288,16.59861430520648,0.0125,0.0625,1.0351277168789048,86.60102261824765,0,False,True,failed_sampler_diagnostics
6,0.16,3,nuts,False,False,failed_sampler_diagnostics,23.379175987343597,3.5089953781161953,12.765874386401862,14.890848180180182,0.1125,0.35,1.0160949411736222,96.8050286082615,0,False,True,failed_sampler_diagnostics
