method,windows,raw_rmse,offset,aligned_rmse,interior_aligned_rmse
Fixed GP,18,11.208578166889264,1.074735248826179,11.156933658859733,11.010217621687284
Fixed GP,36,9.586226615686392,-0.9521208386501334,9.53882627139746,8.364745384994645
Fixed GP,72,11.901581248854118,11.109518754700135,4.269218811684628,3.59300587064823
Fixed GP,144,5.403223338482136,-4.385360380678975,3.156491212895928,2.666948745929594
Fixed GP,288,7.978230402380117,7.399810900279583,2.982441783768103,2.562445155798411
Fixed GP,576,5.870254230278995,5.051649309927113,2.9901043422632183,2.504164701422991
MAP GP,18,33.28608530416932,26.447889366601977,20.210705651421932,19.581046138338866
MAP GP,36,16.335270335997635,8.300737594840154,14.069072902353291,12.817516318467465
MAP GP,72,5.9077389192838625,2.5315337091862493,5.337856893705092,4.540542321692838
MAP GP,144,6.033455219852647,-4.698057679529232,3.7856090566490845,3.0751539278688074
MAP GP,288,13.936228021952592,-13.46095138571856,3.608495430394535,1.8817197514858943
MAP GP,576,14.955308979153477,-14.54490053010179,3.4795308924326815,1.8563274329419033
HMC GP,18,32.40902073644885,25.99873012008105,19.34969398307792,19.241510988334348
HMC GP,36,18.335371399856815,9.544230887648277,15.655462341749855,15.493950514993523
HMC GP,72,8.804969729501718,-6.358891427754605,6.090319511115203,5.41946873538173
HMC GP,144,3.856241492803021,-1.6534047364143725,3.4837983908972396,2.4647091121934332
HMC GP,288,15.663825733982357,-15.203202209328772,3.7706868348920985,2.1402971051377504
HMC GP,576,15.517885729636253,-15.04834957663006,3.7883970934402313,2.4136253205226597
