x_nm,pmf_mean_kJmol,pmf_std_kJmol,pmf_within_std_kJmol,pmf_between_std_kJmol,pmf_variance_kJmol2,pmf_within_variance_kJmol2,pmf_between_variance_kJmol2
1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4898989898989898,-2.4469567077421983,0.25513334046812874,0.25513334046812874,0.0,0.0650930214184261,0.0650930214184261,0.0
1.5297979797979797,-4.231439692308461,0.3074701305438664,0.3074701305438664,0.0,0.09453788117666224,0.09453788117666224,0.0
1.5696969696969696,-5.353448953698788,0.3518842311221471,0.3518842311221471,0.0,0.12382251211242463,0.12382251211242463,0.0
1.6095959595959595,-5.812984491913179,0.4340908281263606,0.4340908281263606,0.0,0.1884348470634295,0.1884348470634295,0.0
1.6494949494949496,-5.610046306951633,0.5690894647306298,0.5690894647306298,0.0,0.32386281886739476,0.32386281886739476,0.0
1.6893939393939394,-4.744634398888868,0.7520600776250991,0.7520600776250991,0.0,0.56559436035747,0.56559436035747,0.0
1.7292929292929293,-3.216753938318321,0.9742263138119784,0.9742263138119784,0.0,0.9491169105236754,0.9491169105236754,0.0
1.7691919191919192,-1.3603046524747224,1.2110198628668294,1.2110198628668294,0.0,1.4665691082579944,1.4665691082579944,0.0
1.809090909090909,-3.44635716287037,1.4080479849791068,1.4080479849791068,0.0,1.9825991280037227,1.9825991280037227,0.0
1.848989898989899,-9.019431178559643,1.5440011732089505,1.5440011732089505,0.0,2.3839396228706153,2.3839396228706153,0.0
1.8888888888888888,-13.686024157279384,1.636432677509585,1.636432677509585,0.0,2.6779119080211897,2.6779119080211897,0.0
1.9287878787878787,-17.445289901058846,1.6989066852627293,1.6989066852627293,0.0,2.8862839252303942,2.8862839252303942,0.0
1.9686868686868686,-20.297228398448382,1.7409503779724773,1.7409503779724773,0.0,3.030908218562512,3.030908218562512,0.0
2.0085858585858585,-22.24183964944784,1.7702082738920344,1.7702082738920344,0.0,3.1336373329558156,3.1336373329558156,0.0
2.0484848484848484,-23.279123654057216,1.793411222600268,1.793411222600268,0.0,3.216323813348588,3.216323813348588,0.0
2.0883838383838382,-23.409080412276513,1.8168159523405532,1.8168159523405532,0.0,3.300820204679111,3.300820204679111,0.0
2.128282828282828,-22.631709924105728,1.8463420733671392,1.8463420733671392,0.0,3.4089790518856664,3.4089790518856664,0.0
2.168181818181818,-20.947012189544864,1.8874991125578144,1.8874991125578144,0.0,3.5626528999065368,3.5626528999065368,0.0
2.2080808080808083,-18.354987208593883,1.945172047321267,1.945172047321267,0.0,3.7836942936800093,3.7836942936800093,0.0
2.2479797979797977,-14.85563498125531,2.0233526084556277,2.0233526084556277,0.0,4.093955778144193,4.093955778144193,0.0
2.287878787878788,-10.448955857862213,2.124921143915557,2.124921143915557,0.0,4.515289867859398,4.515289867859398,0.0
2.3277777777777775,-5.179964276193449,2.2504423621781235,2.2504423621781235,0.0,5.064490825485852,5.064490825485852,0.0
2.367676767676768,-4.498904621610963,2.358279965451812,2.358279965451812,0.0,5.5614843954514,5.5614843954514,0.0
2.4075757575757573,-8.335761052976308,2.4266203783001825,2.4266203783001825,0.0,5.8884864603817215,5.8884864603817215,0.0
2.4474747474747476,-11.209540122039055,2.4743714031617166,2.4743714031617166,0.0,6.122513840784482,6.122513840784482,0.0
2.487373737373737,-13.114494464728024,2.506327768988808,2.506327768988808,0.0,6.281678885604416,6.281678885604416,0.0
2.5272727272727273,-14.050624026169448,2.526754632333546,2.526754632333546,0.0,6.384488972019033,6.384488972019033,0.0
2.567171717171717,-14.017928806362697,2.5395770277696452,2.5395770277696452,0.0,6.4494514799753055,6.4494514799753055,0.0
2.607070707070707,-13.016408805307787,2.548543464298821,2.548543464298821,0.0,6.495073789420236,6.495073789420236,0.0
2.646969696969697,-11.046064023004792,2.557315639552698,2.557315639552698,0.0,6.539863280300825,6.539863280300825,0.0
2.686868686868687,-8.10689445947805,2.5694994322948546,2.5694994322948546,0.0,6.60232733256358,6.60232733256358,0.0
2.7267676767676767,-4.198900128357826,2.5886238285517074,2.5886238285517074,0.0,6.700973325745698,6.700973325745698,0.0
2.7666666666666666,0.6779055904088693,2.6180733498842375,2.6180733498842375,0.0,6.854308065374073,6.854308065374073,0.0
2.8065656565656565,6.500597144567269,2.6607349340312068,2.6607349340312068,0.0,7.079510389174049,7.079510389174049,0.0
