condition,window_count,trajectory_fraction,method,warmup,repeat,wall_seconds,return_code,output_dir
intermediate,7,0.25,fixed,False,3,4.509475165978074,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/intermediate/fixed/repeat_3
full,25,1.0,map,True,1,14.122658459004015,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/map/warmup_1
full,25,1.0,hierarchical,True,1,301.65089954191353,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/hierarchical/warmup_1
full,25,1.0,ui,True,1,4.762047874974087,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/ui/warmup_1
full,25,1.0,fixed,True,1,4.61796104197856,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/fixed/warmup_1
full,25,1.0,fixed,False,1,4.629641084000468,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/fixed/repeat_1
full,25,1.0,hierarchical,False,1,297.4562269169837,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/hierarchical/repeat_1
full,25,1.0,ui,False,1,4.762657665996812,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/ui/repeat_1
full,25,1.0,map,False,1,14.29681566695217,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/map/repeat_1
full,25,1.0,map,False,2,14.094679125002585,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/map/repeat_2
full,25,1.0,hierarchical,False,2,298.7831269160379,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/hierarchical/repeat_2
full,25,1.0,ui,False,2,4.692774958908558,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/ui/repeat_2
full,25,1.0,fixed,False,2,4.640718125039712,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/fixed/repeat_2
full,25,1.0,ui,False,3,4.429262915975414,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/ui/repeat_3
full,25,1.0,hierarchical,False,3,298.2058927080361,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/hierarchical/repeat_3
full,25,1.0,map,False,3,14.535664874943905,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/map/repeat_3
full,25,1.0,fixed,False,3,4.604996041976847,0,/Users/brennonshanks/freeGP/results/revision/benchmarks/runs/20260830-172854-paper/outputs/full/fixed/repeat_3
