# phi,psi,free_energy_kJ_per_mol
-2.879793265790643986e+00,-2.007128639793479330e+00,2.829545559542316369e+01
-2.705260340591210788e+00,-2.007128639793479330e+00,2.376656374403033922e+01
-2.530727415391777591e+00,-2.007128639793479330e+00,2.147558495350414631e+01
-2.356194490192344837e+00,-2.007128639793479330e+00,2.070353809582070426e+01
-2.181661564992912083e+00,-2.007128639793479330e+00,2.099674151939969136e+01
-2.007128639793479330e+00,-2.007128639793479330e+00,2.112094342767611010e+01
-1.832595714594046132e+00,-2.007128639793479330e+00,2.109316887289064368e+01
-1.658062789394612935e+00,-2.007128639793479330e+00,2.135027104040297274e+01
-1.483529864195180181e+00,-2.007128639793479330e+00,2.220321672297365723e+01
-1.308996938995746984e+00,-2.007128639793479330e+00,2.435396324979054583e+01
-1.134464013796314230e+00,-2.007128639793479330e+00,2.841504636356163260e+01
-9.599310885968812546e-01,-2.007128639793479330e+00,3.412377847459320890e+01
-7.853981633974482790e-01,-2.007128639793479330e+00,4.034899299488438373e+01
-6.108652381980153034e-01,-2.007128639793479330e+00,4.508018872507778951e+01
-4.363323129985823279e-01,-2.007128639793479330e+00,4.737498977157713398e+01
-2.617993877991495744e-01,-2.007128639793479330e+00,4.615273988844576536e+01
-8.726646259971659880e-02,-2.007128639793479330e+00,4.273427806753261393e+01
8.726646259971637676e-02,-2.007128639793479330e+00,3.762023914729333995e+01
2.617993877991493523e-01,-2.007128639793479330e+00,3.162035252010868547e+01
4.363323129985823279e-01,-2.007128639793479330e+00,2.583201535824683504e+01
6.108652381980153034e-01,-2.007128639793479330e+00,2.107534200087414789e+01
7.853981633974482790e-01,-2.007128639793479330e+00,1.820745438058368748e+01
9.599310885968810325e-01,-2.007128639793479330e+00,1.799627609860885258e+01
1.134464013796313786e+00,-2.007128639793479330e+00,2.122076281062219039e+01
1.308996938995746984e+00,-2.007128639793479330e+00,2.758031532350355874e+01
