method,x_nm,free_energy_kj_mol_aligned,error_kj_mol
WHAM,1.85,4.43275,1.36358
WHAM,1.9,2.86635,1.38363
WHAM,1.95,1.68267,1.34108
WHAM,2,1.06412,1.30218
WHAM,2.05,0.44705,1.28103
WHAM,2.1,0.29328,1.3598
WHAM,2.15,0.21666,1.38133
WHAM,2.2,0,1.30311
WHAM,2.25,0.21717,1.28699
WHAM,2.3,0.44566,1.29666
WHAM,2.35,0.79273,1.28805
WHAM,2.4,1.82303,1.25087
WHAM,2.45,2.53634,1.18147
WHAM,2.5,3.16209,1.12311
WHAM,2.55,4.22725,1.13972
WHAM,2.6,5.01008,1.111
WHAM,2.65,6.21559,1.08263
WHAM,2.7,7.74114,1.03715
WHAM,2.75,8.96178,1.09329
WHAM,2.8,10.85391,1.15586
WHAM,2.85,12.90773,1.16924
WHAM,2.9,14.55039,1.04021
WHAM,2.95,16.57168,0.9323
WHAM,3,18.25243,0.90247
WHAM,3.05,19.98366,0.92126
WHAM,3.1,22.03891,0.97002
WHAM,3.15,23.73735,0.89404
WHAM,3.2,25.49719,0.69104
WHAM,3.25,27.41593,0.5433
WHAM,3.3,28.77289,0.51627
WHAM,3.35,29.87731,0.55948
WHAM,3.4,31.22148,0.57172
WHAM,3.45,32.55538,0.56782
WHAM,3.5,33.75601,0.55954
WHAM,3.55,35.06576,0.5608
WHAM,3.6,36.57993,0.48582
WHAM,3.65,37.9562,0.4531
WHAM,3.7,39.31414,0.46851
WHAM,3.75,40.48397,0.47212
WHAM,3.8,41.6377,0.49402
WHAM,3.85,43.09672,0.51554
WHAM,3.9,44.73805,0.50476
WHAM,3.95,45.8494,0.51741
WHAM,4,46.35289,0.48555
WHAM,4.05,46.35993,0.44672
WHAM,4.1,46.5124,0.4489
WHAM,4.15,46.61801,0.4454
WHAM,4.2,46.87891,0.4347
WHAM,4.25,47.27344,0.42072
WHAM,4.3,47.45533,0.39391
WHAM,4.35,47.67994,0.36656
WHAM,4.4,47.90388,0.39524
WHAM,4.45,48.18479,0.35286
WHAM,4.5,48.28198,0.29601
WHAM,4.55,48.5712,0.29092
WHAM,4.6,48.91713,0.3003
WHAM,4.65,49.00159,0.28971
WHAM,4.7,49.16437,0.27424
WHAM,4.75,49.30276,0.22347
WHAM,4.8,49.54928,0.20153
WHAM,4.85,49.75937,0.21906
WHAM,4.9,49.82787,0.23621
WHAM,4.95,49.87947,0.20119
WHAM,5,49.96936,0.17557
WHAM,5.05,50.13324,0.16207
WHAM,5.1,50.24396,0.1605
WHAM,5.15,50.24796,0.18904
WHAM,5.2,50.1529,0.17494
WHAM,5.25,50.13312,0.14421
WHAM,5.3,50.04783,0.11441
WHAM,5.35,50.03507,0.09233
WHAM,5.4,50.01999,0
