   1.46975    0.00000    2.49907
   1.50925   -1.89187    2.33076
   1.54875   -3.44184    2.17174
   1.58825   -5.22041    2.08359
   1.62775   -7.15728    2.06560
   1.66725   -8.64536    2.05337
   1.70675   -9.87674    2.06723
   1.74625  -11.28495    2.02221
   1.78575  -12.62734    1.85081
   1.82525  -13.57811    1.62273
   1.86475  -14.60296    1.51297
   1.90425  -15.82439    1.50802
   1.94375  -16.75580    1.50756
   1.98325  -17.36411    1.49107
   2.02275  -17.92451    1.42860
   2.06225  -18.34543    1.38229
   2.10175  -18.44011    1.41204
   2.14125  -18.42546    1.39750
   2.18075  -18.46140    1.24904
   2.22025  -18.45399    1.08901
   2.25975  -18.36428    1.03504
   2.29925  -18.19232    1.03354
   2.33875  -17.84709    1.01774
   2.37825  -17.28145    1.01571
   2.41775  -16.72470    0.99284
   2.45725  -16.30655    0.88573
   2.49675  -15.77293    0.84640
   2.53625  -15.01671    0.94392
   2.57575  -14.31592    1.03906
   2.61525  -13.60739    1.07817
   2.65475  -12.54884    1.14064
   2.69425  -11.35939    1.24723
   2.73375  -10.35098    1.39299
   2.77325   -9.21104    1.57477
   2.81275   -7.64748    1.74476
   2.85225   -6.10993    1.79180
   2.89175   -4.77348    1.68724
   2.93125   -3.29471    1.54280
   2.97075   -1.70762    1.43903
   3.01025   -0.22195    1.38636
   3.04975    1.22821    1.32269
   3.08925    2.74563    1.22581
   3.12875    4.23072    1.06749
   3.16825    5.64153    0.79694
   3.20775    7.04003    0.45308
   3.24725    8.37244    0.18683
   3.28675    9.49168    0.13316
   3.32625   10.44934    0.13233
   3.36575   11.42932    0.13501
   3.40525   12.45028    0.14519
   3.44475   13.42444    0.24657
   3.48425   14.37463    0.43270
   3.52375   15.40209    0.60546
   3.56325   16.51968    0.72497
   3.60275   17.64841    0.80900
   3.64225   18.71060    0.87590
   3.68175   19.69886    0.90935
   3.72125   20.65435    0.88835
   3.76075   21.61960    0.82728
   3.80025   22.61973    0.76242
   3.83975   23.65191    0.72083
   3.87925   24.66963    0.70378
   3.91875   25.57338    0.69024
   3.95825   26.25820    0.66988
   3.99775   26.71119    0.65641
   4.03725   27.01710    0.65864
   4.07675   27.26429    0.67413
   4.11625   27.49372    0.69506
   4.15575   27.70909    0.70989
   4.19525   27.89929    0.70856
   4.23475   28.05817    0.68934
   4.27425   28.19558    0.66073
   4.31375   28.33307    0.63508
   4.35325   28.48913    0.62168
   4.39275   28.66758    0.62486
   4.43225   28.85784    0.64521
   4.47175   29.04551    0.68298
   4.51125   29.22369    0.73700
   4.55075   29.39393    0.79712
   4.59025   29.55754    0.84643
   4.62975   29.71020    0.87340
   4.66925   29.84831    0.88026
   4.70875   29.97839    0.88098
   4.74825   30.11435    0.89085
   4.78775   30.26184    0.91775
   4.82725   30.40608    0.95907
   4.86675   30.51987    1.00443
   4.90625   30.58992    1.04394
   4.94575   30.63299    1.07386
   4.98525   30.68015    1.09515
   5.02475   30.74765    1.11087
   5.06425   30.82595    1.12526
   5.10375   30.89377    1.14213
   5.14325   30.94036    1.16183
   5.18275   30.97190    1.18091
   5.22225   30.99803    1.19687
   5.26175   31.02171    1.21231
   5.30125   31.04816    1.23165
   5.34075   31.10037    1.25326
   5.38025   31.21961    1.26827
