   1.46975  -32.72008    3.46100
   1.50925  -34.54579    3.53395
   1.54875  -36.04814    3.58045
   1.58825  -37.82245    3.61483
   1.62775  -39.74395    3.70331
   1.66725  -41.15244    3.85722
   1.70675  -42.31022    3.97797
   1.74625  -43.69889    4.00922
   1.78575  -45.01517    3.99089
   1.82525  -45.89842    3.94568
   1.86475  -46.86112    3.87156
   1.90425  -48.03162    3.74972
   1.94375  -48.89896    3.58721
   1.98325  -49.44892    3.43002
   2.02275  -49.95031    3.32998
   2.06225  -50.29286    3.32768
   2.10175  -50.30854    3.42381
   2.14125  -50.25982    3.53400
   2.18075  -50.30751    3.59516
   2.22025  -50.31661    3.64196
   2.25975  -50.22996    3.65409
   2.29925  -50.04802    3.58215
   2.33875  -49.69281    3.48859
   2.37825  -49.12852    3.46327
   2.41775  -48.56854    3.42687
   2.45725  -48.11340    3.26928
   2.49675  -47.51657    3.08065
   2.53625  -46.69934    2.99598
   2.57575  -45.96973    2.91995
   2.61525  -45.27180    2.71284
   2.65475  -44.24823    2.42847
   2.69425  -43.09455    2.26017
   2.73375  -42.08477    2.25069
   2.77325  -40.91017    2.24413
   2.81275  -39.30538    2.19281
   2.85225  -37.72523    2.13397
   2.89175  -36.34401    2.04713
   2.93125  -34.82954    1.90661
   2.97075  -33.22690    1.76863
   3.01025  -31.72900    1.67856
   3.04975  -30.25248    1.65129
   3.08925  -28.69883    1.66775
   3.12875  -27.17858    1.62599
   3.16825  -25.74272    1.46838
   3.20775  -24.33377    1.26618
   3.24725  -23.00161    1.10383
   3.28675  -21.87452    0.97815
   3.32625  -20.89163    0.87085
   3.36575  -19.88275    0.82535
   3.40525  -18.84339    0.84095
   3.44475  -17.86382    0.84258
   3.48425  -16.91293    0.81538
   3.52375  -15.88343    0.81774
   3.56325  -14.76396    0.86478
   3.60275  -13.63659    0.92697
   3.64225  -12.57779    0.96315
   3.68175  -11.58857    0.95467
   3.72125  -10.62213    0.91001
   3.76075   -9.63463    0.84659
   3.80025   -8.60225    0.77913
   3.83975   -7.52989    0.71726
   3.87925   -6.46800    0.66825
   3.91875   -5.52573    0.63340
   3.95825   -4.82064    0.59691
   3.99775   -4.36796    0.55153
   4.03725   -4.07341    0.52560
   4.07675   -3.84012    0.53450
   4.11625   -3.62425    0.55753
   4.15575   -3.42228    0.57023
   4.19525   -3.24652    0.56754
   4.23475   -3.10412    0.56410
   4.27425   -2.98493    0.57494
   4.31375   -2.86557    0.59855
   4.35325   -2.72507    0.62137
   4.39275   -2.55750    0.62654
   4.43225   -2.37256    0.59862
   4.47175   -2.18530    0.53222
   4.51125   -2.00447    0.44091
   4.55075   -1.83051    0.35162
   4.59025   -1.66351    0.29021
   4.62975   -1.50871    0.27112
   4.66925   -1.37052    0.28624
   4.70875   -1.24287    0.30838
   4.74825   -1.11158    0.31459
   4.78775   -0.96965    0.30225
   4.82725   -0.82938    0.28841
   4.86675   -0.71502    0.29117
   4.90625   -0.63835    0.30596
   4.94575   -0.58403    0.31321
   4.98525   -0.52433    0.30203
   5.02475   -0.44609    0.27681
   5.06425   -0.36082    0.25259
   5.10375   -0.29053    0.24501
   5.14325   -0.24555    0.25346
   5.18275   -0.21883    0.25718
   5.22225   -0.19980    0.23547
   5.26175   -0.18431    0.18361
   5.30125   -0.16539    0.11431
   5.34075   -0.11813    0.04810
   5.38025    0.00000    0.00000
