method,method_label,window_count,trajectory_fraction,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,profile_points
ui,UI + block averaging,4,0.04,106.00550249675852,0.62,0.95,100
ui,UI + block averaging,3,1.0,42.0694396616863,0.78,0.97,100
ui,UI + block averaging,3,0.9,60.922472502128784,0.51,0.98,100
ui,UI + block averaging,3,0.8,38.569162985807644,0.96,0.97,100
ui,UI + block averaging,3,0.6,45.292991664383145,0.38,0.89,100
ui,UI + block averaging,3,0.4,31.11000889345502,0.97,0.98,100
ui,UI + block averaging,3,0.25,46.267525596525104,0.92,0.98,100
ui,UI + block averaging,3,0.16,92.77371670615699,0.36,0.68,100
ui,UI + block averaging,3,0.1,107.45076652294193,0.8,0.99,100
ui,UI + block averaging,3,0.063,95.15778671384105,0.84,0.99,100
ui,UI + block averaging,3,0.04,124.15166046836772,0.39,0.64,100
fixed,Fixed GP,3,0.04,20.42159802522272,0.4,0.82,100
fixed,Fixed GP,3,0.063,6.826452723570095,0.78,1.0,100
fixed,Fixed GP,3,0.1,6.747088504204734,0.99,1.0,100
fixed,Fixed GP,3,0.16,7.381020975607559,1.0,1.0,100
fixed,Fixed GP,3,0.25,4.913427288075954,1.0,1.0,100
fixed,Fixed GP,3,0.4,5.642195252948802,1.0,1.0,100
fixed,Fixed GP,3,0.6,10.195464181433387,0.67,1.0,100
fixed,Fixed GP,3,0.8,18.34701176023997,0.76,1.0,100
fixed,Fixed GP,3,0.9,10.109926274988734,1.0,1.0,100
fixed,Fixed GP,3,1.0,16.827773324252565,0.31,0.95,100
fixed,Fixed GP,4,0.04,9.70183589184214,0.94,1.0,100
fixed,Fixed GP,4,0.063,8.379242592114684,0.98,1.0,100
fixed,Fixed GP,4,0.1,5.198997560668789,1.0,1.0,100
fixed,Fixed GP,4,0.16,5.247442636792789,1.0,1.0,100
fixed,Fixed GP,4,0.25,5.066769179101858,1.0,1.0,100
fixed,Fixed GP,4,0.4,11.219779012781578,1.0,1.0,100
fixed,Fixed GP,4,0.6,7.906419926361934,1.0,1.0,100
fixed,Fixed GP,4,0.8,25.524281952580367,0.76,1.0,100
fixed,Fixed GP,4,0.9,13.949291888035022,1.0,1.0,100
fixed,Fixed GP,4,1.0,8.216574003957708,1.0,1.0,100
fixed,Fixed GP,6,0.04,7.711027197497857,1.0,1.0,100
fixed,Fixed GP,6,0.063,5.259994661603608,1.0,1.0,100
fixed,Fixed GP,6,0.1,10.802788968881623,0.51,1.0,100
fixed,Fixed GP,6,0.16,7.981997850381235,1.0,1.0,100
fixed,Fixed GP,6,0.25,5.617336772200211,1.0,1.0,100
fixed,Fixed GP,6,0.4,14.88850189710124,0.3,1.0,100
fixed,Fixed GP,6,0.6,10.786122466617194,1.0,1.0,100
fixed,Fixed GP,6,0.8,9.085152827983158,1.0,1.0,100
fixed,Fixed GP,6,0.9,8.290001870677507,1.0,1.0,100
fixed,Fixed GP,6,1.0,12.031536269450344,1.0,1.0,100
fixed,Fixed GP,8,0.04,8.138860386959303,1.0,1.0,100
fixed,Fixed GP,8,0.063,9.367421416082593,1.0,1.0,100
fixed,Fixed GP,8,0.1,7.388163215765067,1.0,1.0,100
fixed,Fixed GP,8,0.16,5.5302953866356095,0.94,1.0,100
fixed,Fixed GP,8,0.25,9.64109192390829,0.98,1.0,100
fixed,Fixed GP,8,0.4,8.285253939886438,1.0,1.0,100
fixed,Fixed GP,8,0.6,7.053611056633208,1.0,1.0,100
fixed,Fixed GP,8,0.8,6.716786216407671,1.0,1.0,100
fixed,Fixed GP,8,0.9,12.902992222303594,1.0,1.0,100
fixed,Fixed GP,8,1.0,14.701834312610282,1.0,1.0,100
fixed,Fixed GP,10,0.04,10.502335313970537,1.0,1.0,100
fixed,Fixed GP,10,0.063,10.1063894862414,1.0,1.0,100
fixed,Fixed GP,10,0.1,6.7188894665346535,1.0,1.0,100
fixed,Fixed GP,10,0.16,9.336447461593158,1.0,1.0,100
fixed,Fixed GP,10,0.25,6.188083019204572,1.0,1.0,100
fixed,Fixed GP,10,0.4,4.054096562321018,1.0,1.0,100
fixed,Fixed GP,10,0.6,6.958031663559174,1.0,1.0,100
fixed,Fixed GP,10,0.8,12.567102685915286,1.0,1.0,100
fixed,Fixed GP,10,0.9,5.551854959879169,1.0,1.0,100
fixed,Fixed GP,10,1.0,11.287274866784504,1.0,1.0,100
fixed,Fixed GP,13,0.04,6.872210895538054,1.0,1.0,100
fixed,Fixed GP,13,0.063,6.234986320228553,1.0,1.0,100
fixed,Fixed GP,13,0.1,5.315138827627069,1.0,1.0,100
fixed,Fixed GP,13,0.16,4.1495423720978355,1.0,1.0,100
fixed,Fixed GP,13,0.25,5.278465706045235,1.0,1.0,100
fixed,Fixed GP,13,0.4,5.569152278480534,1.0,1.0,100
fixed,Fixed GP,13,0.6,5.5181817375295505,1.0,1.0,100
fixed,Fixed GP,13,0.8,7.50792203221523,1.0,1.0,100
fixed,Fixed GP,13,0.9,8.596783416605396,1.0,1.0,100
fixed,Fixed GP,13,1.0,10.94443615412289,1.0,1.0,100
fixed,Fixed GP,16,0.04,5.273718723477852,1.0,1.0,100
fixed,Fixed GP,16,0.063,5.717184005241478,0.73,1.0,100
fixed,Fixed GP,16,0.1,4.706358970613431,0.71,1.0,100
fixed,Fixed GP,16,0.16,6.4430347625296225,1.0,1.0,100
fixed,Fixed GP,16,0.25,3.7868163549135847,1.0,1.0,100
fixed,Fixed GP,16,0.4,4.018225530950587,1.0,1.0,100
fixed,Fixed GP,16,0.6,7.646140068148718,1.0,1.0,100
fixed,Fixed GP,16,0.8,7.690793368087026,1.0,1.0,100
fixed,Fixed GP,16,0.9,9.354442830129038,1.0,1.0,100
fixed,Fixed GP,16,1.0,6.706562326669371,1.0,1.0,100
fixed,Fixed GP,19,0.04,7.201366583286861,1.0,1.0,100
fixed,Fixed GP,19,0.063,8.32789523143596,1.0,1.0,100
fixed,Fixed GP,19,0.1,4.99214767608554,0.64,1.0,100
fixed,Fixed GP,19,0.16,4.081682927695669,1.0,1.0,100
fixed,Fixed GP,19,0.25,3.3161503540483896,1.0,1.0,100
fixed,Fixed GP,19,0.4,2.91340220733643,1.0,1.0,100
fixed,Fixed GP,19,0.6,7.980685018593398,1.0,1.0,100
fixed,Fixed GP,19,0.8,5.765354142747339,1.0,1.0,100
fixed,Fixed GP,19,0.9,5.839680829706883,1.0,1.0,100
fixed,Fixed GP,19,1.0,11.427355691976173,1.0,1.0,100
fixed,Fixed GP,22,0.04,5.374406607918262,1.0,1.0,100
fixed,Fixed GP,22,0.063,6.936503970088226,0.71,1.0,100
fixed,Fixed GP,22,0.1,5.263815633866775,0.55,1.0,100
fixed,Fixed GP,22,0.16,3.1115216743957523,0.96,1.0,100
fixed,Fixed GP,22,0.25,4.336631023120903,1.0,1.0,100
fixed,Fixed GP,22,0.4,3.6622769436220763,1.0,1.0,100
fixed,Fixed GP,22,0.6,5.147324350993398,1.0,1.0,100
