method,method_label,window_count,trajectory_fraction,mean_crps_kj_mol
fixed,Fixed GP,6,0.4,14.88850189710124
fixed,Fixed GP,6,0.6,10.786122466617194
fixed,Fixed GP,6,0.8,9.085152827983158
fixed,Fixed GP,6,0.9,8.290001870677507
fixed,Fixed GP,6,1.0,12.031536269450344
fixed,Fixed GP,8,0.04,8.138860386959303
fixed,Fixed GP,8,0.063,9.367421416082593
fixed,Fixed GP,8,0.1,7.388163215765067
fixed,Fixed GP,8,0.16,5.5302953866356095
fixed,Fixed GP,8,0.25,9.64109192390829
fixed,Fixed GP,8,0.4,8.285253939886438
fixed,Fixed GP,8,0.6,7.053611056633208
fixed,Fixed GP,8,0.8,6.716786216407671
fixed,Fixed GP,8,0.9,12.902992222303594
fixed,Fixed GP,8,1.0,14.701834312610282
fixed,Fixed GP,10,0.04,10.502335313970537
fixed,Fixed GP,10,0.063,10.1063894862414
fixed,Fixed GP,10,0.1,6.7188894665346535
fixed,Fixed GP,10,0.16,9.336447461593158
fixed,Fixed GP,10,0.25,6.188083019204572
fixed,Fixed GP,10,0.4,4.054096562321018
fixed,Fixed GP,10,0.6,6.958031663559174
fixed,Fixed GP,10,0.8,12.567102685915286
fixed,Fixed GP,10,0.9,5.551854959879169
fixed,Fixed GP,10,1.0,11.287274866784504
fixed,Fixed GP,13,0.04,6.872210895538054
fixed,Fixed GP,13,0.063,6.234986320228553
fixed,Fixed GP,13,0.1,5.315138827627069
fixed,Fixed GP,13,0.16,4.1495423720978355
fixed,Fixed GP,13,0.25,5.278465706045235
fixed,Fixed GP,13,0.4,5.569152278480534
fixed,Fixed GP,13,0.6,5.5181817375295505
fixed,Fixed GP,13,0.8,7.50792203221523
fixed,Fixed GP,13,0.9,8.596783416605396
fixed,Fixed GP,13,1.0,10.94443615412289
fixed,Fixed GP,16,0.04,5.273718723477852
fixed,Fixed GP,16,0.063,5.717184005241478
fixed,Fixed GP,16,0.1,4.706358970613431
fixed,Fixed GP,16,0.16,6.4430347625296225
fixed,Fixed GP,16,0.25,3.7868163549135847
fixed,Fixed GP,16,0.4,4.018225530950587
fixed,Fixed GP,16,0.6,7.646140068148718
fixed,Fixed GP,16,0.8,7.690793368087026
fixed,Fixed GP,16,0.9,9.354442830129038
fixed,Fixed GP,16,1.0,6.706562326669371
fixed,Fixed GP,19,0.04,7.201366583286861
fixed,Fixed GP,19,0.063,8.32789523143596
fixed,Fixed GP,19,0.1,4.99214767608554
fixed,Fixed GP,19,0.16,4.081682927695669
fixed,Fixed GP,19,0.25,3.3161503540483896
fixed,Fixed GP,19,0.4,2.91340220733643
fixed,Fixed GP,19,0.6,7.980685018593398
fixed,Fixed GP,19,0.8,5.765354142747339
fixed,Fixed GP,19,0.9,5.839680829706883
fixed,Fixed GP,19,1.0,11.427355691976173
fixed,Fixed GP,22,0.04,5.374406607918262
fixed,Fixed GP,22,0.063,6.936503970088226
fixed,Fixed GP,22,0.1,5.263815633866775
fixed,Fixed GP,22,0.16,3.1115216743957523
fixed,Fixed GP,22,0.25,4.336631023120903
fixed,Fixed GP,22,0.4,3.6622769436220763
fixed,Fixed GP,22,0.6,5.147324350993398
fixed,Fixed GP,22,0.8,8.412342810660292
fixed,Fixed GP,22,0.9,7.469995962576534
fixed,Fixed GP,22,1.0,6.836523485761907
