theta_ell,theta_sd,theta_sf,theta_w
-9.458248842175921434e-01,-4.284049893676082910e-01,2.032398732844045153e+00,4.545542344313107108e+00
-8.640210873884508480e-01,1.365263243664172510e+00,2.024117961966971802e+00,4.970361513021336997e+00
-8.371298783093670259e-01,3.412771241290175617e-01,2.045996904580893450e+00,4.913164274982901425e+00
-8.384606613212975956e-01,-2.567925981234869148e+00,2.034086430182393546e+00,4.789816556380074530e+00
-7.763373337867709445e-01,-3.394607747364280836e+00,2.028166441439491763e+00,5.409969979982971466e+00
-9.912784705640982352e-01,5.074902302347008565e-01,2.024525886330719615e+00,4.512847410009083404e+00
-9.362007459128695031e-01,5.966907854934935251e-01,2.063995079658439646e+00,4.681378945491482924e+00
-8.679762314554605451e-01,-7.236834446982856051e-01,2.062981224254613277e+00,4.872614824864993643e+00
-9.955100864040414832e-01,-3.615051399560083034e-01,2.065534213135817865e+00,4.431543543077777869e+00
-8.659653520129099169e-01,1.895055591927146676e-01,2.000672919609633560e+00,4.885853265203473406e+00
-9.247860629415984857e-01,-5.664467157803022568e-01,2.060110458001629841e+00,4.647164365943628361e+00
-9.295997689667140351e-01,1.905005965939123191e+00,2.030917321824223354e+00,4.695798203161081652e+00
-1.017813811286306214e+00,-1.896264286155380785e-01,1.998509898116331840e+00,4.524175204288031438e+00
-1.012766384816463194e+00,-2.829207428338771813e+00,2.047560144801262361e+00,4.288844023637941483e+00
-1.013907038290935425e+00,-1.779760491518247445e+00,2.045515769231368797e+00,4.384628125748487371e+00
-9.431305445555347999e-01,-6.909016782778214516e-01,2.097774944384190210e+00,4.779030191369277425e+00
-9.397476477587799470e-01,-7.210264487235722441e-01,2.093022885488035723e+00,4.737928938261474876e+00
-9.381524252513916418e-01,7.235980855102382980e-01,2.042311071200971551e+00,4.481853231359701262e+00
-8.515431237610450177e-01,-1.829492815562731911e+00,2.007575687602839665e+00,4.959392822938497147e+00
-9.918011595994948859e-01,3.524414170532208512e-02,2.064652249815371654e+00,4.483825700576789863e+00
-1.015637985069562932e+00,1.334256761469466701e-01,2.065138710989081527e+00,4.460817799953374241e+00
-9.407357845850607969e-01,8.805362200279856499e-02,2.080674835429793479e+00,4.465117628886889456e+00
-8.757882413324772353e-01,8.759057553538814878e-01,2.005096475678995294e+00,4.847781768234409761e+00
