theta_ell,theta_sd,theta_sf,theta_w
-8.032092788972592379e-01,-6.391232077608304252e-01,1.968073783752768202e+00,5.743542302205278283e+00
-8.106849920594341175e-01,-2.955988791873260801e-01,1.951510305118272948e+00,5.603451168858454068e+00
-9.100595402984370530e-01,1.679447504275625835e+00,1.951294784516153236e+00,5.272622090753060320e+00
-8.621662202078775872e-01,1.825948739792987441e-01,2.000095632349728980e+00,5.268536457953569396e+00
-9.203932623362379717e-01,-2.873642865083403386e-03,1.928872404556125630e+00,5.322574470836901384e+00
-8.902660802480317770e-01,1.245473639927948240e+00,2.002438376238432571e+00,5.341923548374216679e+00
-8.756743955448520467e-01,1.562761913144045778e+00,2.005513510532725530e+00,5.267660389270893972e+00
-9.706688827706251299e-01,-3.302291571838440465e+00,1.944609757249811555e+00,5.009079649902435705e+00
-1.032857424812198666e+00,-2.413593997772736532e+00,1.974014175644208224e+00,4.815801121191253031e+00
-7.926915472296706122e-01,1.962953106048987317e+00,1.986301810044069027e+00,5.570455696617055530e+00
-8.480238180633375977e-01,1.148212409545230406e+00,2.011070660902037233e+00,5.488881002737491244e+00
-7.945873295140721826e-01,-7.025175909800773777e-01,2.019574472046795410e+00,5.532237026182468931e+00
-9.594054569377301611e-01,-9.428908207131936337e-02,2.039659222236103631e+00,4.725138460409461949e+00
-9.693369002772737053e-01,1.671494834876034730e-02,2.015162829044553572e+00,5.021163606904782029e+00
-8.745737541903433332e-01,1.811797039952247612e-01,1.932365496823145179e+00,5.296918838149045961e+00
-8.459485864800562194e-01,4.235152103303941318e-01,1.952034860794548354e+00,5.539439506134749891e+00
-9.612587148309433838e-01,6.905254303832154550e-01,2.006809648540624824e+00,5.103995872178617610e+00
-9.040085139174321993e-01,4.625333820534885954e-01,1.990682182350986595e+00,5.191107548795319104e+00
-9.415865655744367624e-01,8.000289646580545089e-01,1.971843307347612262e+00,5.284984557792616222e+00
-9.064284406249996096e-01,-2.181468688671025502e-01,1.952898356870505392e+00,5.129613692093200505e+00
-9.218613847669503425e-01,5.046561818263831656e-01,1.944749362621546851e+00,5.175591648647741572e+00
-8.656622530898332446e-01,5.657829699790244415e-01,1.982722447191087145e+00,5.334686248572082512e+00
-8.329462883014744357e-01,8.561251596331174163e-01,1.951527210655526590e+00,5.631201128725217941e+00
-9.224002820821828319e-01,-2.334676249200109410e-01,1.979325151713953845e+00,5.155096888561697455e+00
-9.123593502466059713e-01,1.077462566253773346e+00,1.945105879936334992e+00,5.400098276586486001e+00
-8.662067641091453218e-01,6.758471345624905702e-01,2.009839262264398130e+00,5.120093617283670184e+00
-9.611763550355043595e-01,-1.021916965490021312e+00,2.027639315414357046e+00,5.224239066382643237e+00
-8.705920363416889129e-01,-8.362461571751683698e-02,1.981487380680289956e+00,5.021634725629874119e+00
-8.799671796628319997e-01,5.980715295184924063e-01,1.979248843693762971e+00,5.234836572315236580e+00
-9.831330806574292147e-01,-2.698437507542546854e+00,1.966287348088683551e+00,4.925838636318843555e+00
-9.600298222490498690e-01,-3.736413025525269216e-01,1.942883918311147484e+00,4.976381578721303711e+00
-9.369983004876615285e-01,-5.546950148842040296e-01,1.990180228682732366e+00,5.028377782719896771e+00
-9.259950490084343233e-01,-2.546375361328684583e+00,1.980675578212303334e+00,5.075272112285221127e+00
-8.944707734084035300e-01,6.561775794243751569e-02,1.960530965383267432e+00,5.267391830602016434e+00
-8.585739416196881413e-01,-4.496113132558272607e-01,1.982724485912359613e+00,5.313066545273461116e+00
-9.307084819116886454e-01,-1.196791175981227084e+00,1.970130159570965267e+00,5.077453728247435905e+00
-9.093746837538164707e-01,-2.217730739900663384e+00,1.949286583894969116e+00,5.413434965250857545e+00
-9.056576517289389727e-01,-2.898806634820915384e+00,1.952389383764132180e+00,5.315817431478547128e+00
-9.143643316848890645e-01,-4.322031734781220935e-01,1.957351236063217037e+00,5.142026261858542391e+00
-9.205259069411335648e-01,-3.802692443506636155e-01,1.961290783642479996e+00,5.386916408644021104e+00
-8.347713813320351006e-01,-2.477498163038835521e+00,1.952404006799974168e+00,5.479786629455134950e+00
-9.478212320264861601e-01,1.170961429261677234e+00,1.906947953744022151e+00,5.085108345671648600e+00
-8.994117151239175989e-01,1.021245435313005601e+00,1.928842354959848793e+00,5.321822037931677407e+00
-9.106945763532270366e-01,-8.438717634208098284e-01,2.003389491689745228e+00,5.318620592858938068e+00
-9.275461586828021021e-01,2.570541940040685258e+00,1.981485527234774446e+00,4.953632579150923476e+00
-9.375684196252798142e-01,1.046767657421195930e+00,1.973051186037742433e+00,5.164533174598720855e+00
-8.916657259329850982e-01,1.850931640336628714e+00,1.969510047918966222e+00,5.185450355497446928e+00
-9.238866908273318801e-01,-1.883136370239578472e+00,1.967358021027909354e+00,5.162763808911158492e+00
-9.498535425136833688e-01,1.619954674325957855e+00,1.976436993049959234e+00,5.020368032089201904e+00
-9.222110986865647009e-01,1.468487448549588237e+00,1.907040551500848835e+00,5.322198829154544342e+00
-9.247779786631225019e-01,-8.628185408706181558e-01,1.992341936967787275e+00,5.136326483765774498e+00
-9.117646212849254139e-01,-7.344361147367490794e-01,1.941342828791753350e+00,5.156896941280944446e+00
-8.809395667863606505e-01,2.769385885362785071e-02,1.962483037907618799e+00,5.239586125304889208e+00
-9.116320174834708912e-01,-6.360464073930367501e-01,1.946344605743605571e+00,5.230882414903327948e+00
-8.669729632608165204e-01,2.708029844019180121e+00,1.917482524020994727e+00,5.402923966528677013e+00
-8.942623896960169017e-01,1.221393748973911064e+00,1.897392309607164096e+00,5.290454449259829772e+00
-8.681336733494888769e-01,5.350916379186378968e-01,1.937384790704684612e+00,5.516412835600034370e+00
-8.433516176881712401e-01,2.827041582649292284e-03,1.913650530681115125e+00,5.345595849930672827e+00
-9.298079179186280463e-01,6.898722318586880675e-02,1.975284894217230969e+00,4.919099621421577417e+00
-9.258158233604705245e-01,-6.718891015629033792e-01,1.961062006365983379e+00,5.239671564799244230e+00
-8.477713860139431956e-01,-1.834177253075711667e+00,1.922589538090609063e+00,5.508654331275455895e+00
-8.477713860139431956e-01,-1.834177253075711667e+00,1.922589538090609063e+00,5.508654331275455895e+00
-8.677659294924616740e-01,-3.628888002295909132e-01,1.989765582438758784e+00,5.296587013542037425e+00
-8.780322737501653485e-01,-3.575874200191614394e-01,1.978614395083262645e+00,5.303128238451757959e+00
-8.415658439344874120e-01,4.017034987291963066e-01,2.020384045094467229e+00,5.298999641630007140e+00
-8.933249753780233560e-01,-4.660223594474098285e-01,2.053517369538739423e+00,5.214576897935909727e+00
-8.486543492191509497e-01,-4.132648157860846716e+00,2.030565572654597695e+00,5.437596677654923383e+00
-8.586224337167911447e-01,-3.418469588252391222e+00,2.017392603154501529e+00,5.520687377240790283e+00
-8.468574352720864562e-01,-5.490433652484782101e+00,1.977319981499382262e+00,5.232778616812614025e+00
-8.513109394689163389e-01,-6.286442093646305906e+00,1.974226182787308881e+00,5.324603996151898500e+00
-9.682262226012231521e-01,-2.835402708863407728e+00,1.969642992439091911e+00,4.949784595105017004e+00
-8.494205986359367744e-01,1.989576226656492475e+00,2.022775456092154478e+00,5.364806024111566707e+00
-8.312018203456394971e-01,7.760028449567690778e-01,1.989599544385236563e+00,5.471934022469032932e+00
-8.690128045677404378e-01,-1.303403484135623902e+00,1.921966774135926537e+00,5.465297030571605319e+00
-8.676220112138931517e-01,1.211387723977531694e+00,1.961383163548446884e+00,5.377187275520449283e+00
-8.683472567765698757e-01,3.758603614844572838e-01,1.944816553335447562e+00,5.360640806714141782e+00
-9.682898800532518946e-01,3.432313717180379697e-01,1.987687436812137554e+00,4.892382794605467211e+00
-9.129962538515240533e-01,1.258074186325173649e+00,1.927369854171311792e+00,5.073841873541638847e+00
-9.066845416751299069e-01,1.294901379278632580e+00,1.937847901586463362e+00,5.170735825061537838e+00
-9.035184512295796333e-01,-9.747124372601889686e-01,1.982406641322980168e+00,5.296673758505896501e+00
-8.693330693590713976e-01,5.400063006480776417e-01,1.933916057745299844e+00,5.218827284642784115e+00
-9.526918773661322559e-01,-7.172207067915779000e-01,1.999754701486825770e+00,4.808690479793416905e+00
-9.694819000003976894e-01,1.055039464647158365e+00,1.955396012806103867e+00,5.169357271712391011e+00
-9.366363059507434308e-01,4.973116033075374309e-01,1.944037595751095138e+00,5.028229451863101218e+00
-9.016483608261609550e-01,4.121516641328022978e-01,1.905131717808378866e+00,5.240264871721873163e+00
-8.836944306982948971e-01,-2.720296954381720589e+00,1.997692056508484582e+00,5.097368211280952188e+00
-8.836944306982948971e-01,-2.720296954381720589e+00,1.997692056508484582e+00,5.097368211280952188e+00
-8.914039212475374230e-01,-1.766593525399007270e+00,1.994981515083746881e+00,5.133799151497459690e+00
-8.479496717800746319e-01,1.642045703837690773e+00,2.001364449683886715e+00,5.349307500922745540e+00
-9.105622826619054200e-01,-1.768577869318607831e+00,1.928756416074973279e+00,5.338664793117498419e+00
-8.901907473340329169e-01,-4.607407924771905749e-01,1.967551056217294869e+00,5.167527670953441898e+00
-8.802535814360795685e-01,2.262135800452182544e+00,1.974741066536711331e+00,5.488750838651001551e+00
-8.869931455974671142e-01,-2.508360372897073365e+00,1.990820614762771834e+00,5.273954692161052726e+00
-9.544459888948606530e-01,1.941242265246089893e+00,1.982897575795984801e+00,4.952825374053901442e+00
-9.257836161029934230e-01,-2.913163926446523444e+00,1.971477866022108616e+00,5.091727795902104781e+00
-8.740264704137964413e-01,-3.008465319778228508e-01,1.933547853810583028e+00,5.439740499584559075e+00
-8.738533332805027420e-01,-2.814810962832249297e-01,1.941659672996746133e+00,5.468094877967898171e+00
-9.036699799303866687e-01,4.179209314204199166e-01,1.910685601027533043e+00,5.201140335943483350e+00
-8.996460066435564285e-01,-6.603287190373108295e-02,1.911307217296354111e+00,5.243052844741387553e+00
-8.615059181371571562e-01,1.482418948554412808e+00,1.936590000591051908e+00,5.305342565048503545e+00
-9.382560427398458636e-01,2.077433230960890942e+00,1.923158347201638030e+00,5.416800425006878861e+00
-8.866196756735775786e-01,2.919008363407391560e-01,1.906529909995795524e+00,5.374075006177518432e+00
