condition,method,n,median_seconds,min_seconds,max_seconds,relative_to_fixed
sparse,map,1,6.210164790973067,6.210164790973067,6.210164790973067,1.2491103550249845
sparse,fixed,1,4.97167024994269,4.97167024994269,4.97167024994269,1.0
sparse,hierarchical,1,4.9230635419953614,4.9230635419953614,4.9230635419953614,0.9902232639125877
sparse,ui,1,4.626689750002697,4.626689750002697,4.626689750002697,0.9306107439559231
